trips,timestamp
136,2019-09-18 00:00:00.000000 +02:00
112,2019-09-18 01:00:00.000000 +02:00
64,2019-09-18 02:00:00.000000 +02:00
26,2019-09-18 03:00:00.000000 +02:00
17,2019-09-18 04:00:00.000000 +02:00
37,2019-09-18 05:00:00.000000 +02:00
75,2019-09-18 06:00:00.000000 +02:00
383,2019-09-18 07:00:00.000000 +02:00
881,2019-09-18 08:00:00.000000 +02:00
795,2019-09-18 09:00:00.000000 +02:00
415,2019-09-18 10:00:00.000000 +02:00
385,2019-09-18 11:00:00.000000 +02:00
476,2019-09-18 12:00:00.000000 +02:00
601,2019-09-18 13:00:00.000000 +02:00
572,2019-09-18 14:00:00.000000 +02:00
644,2019-09-18 15:00:00.000000 +02:00
744,2019-09-18 16:00:00.000000 +02:00
887,2019-09-18 17:00:00.000000 +02:00
1163,2019-09-18 18:00:00.000000 +02:00
990,2019-09-18 19:00:00.000000 +02:00
637,2019-09-18 20:00:00.000000 +02:00
447,2019-09-18 21:00:00.000000 +02:00
417,2019-09-18 22:00:00.000000 +02:00
316,2019-09-18 23:00:00.000000 +02:00
173,2019-09-19 00:00:00.000000 +02:00
109,2019-09-19 01:00:00.000000 +02:00
61,2019-09-19 02:00:00.000000 +02:00
40,2019-09-19 03:00:00.000000 +02:00
16,2019-09-19 04:00:00.000000 +02:00
30,2019-09-19 05:00:00.000000 +02:00
85,2019-09-19 06:00:00.000000 +02:00
350,2019-09-19 07:00:00.000000 +02:00
868,2019-09-19 08:00:00.000000 +02:00
783,2019-09-19 09:00:00.000000 +02:00
469,2019-09-19 10:00:00.000000 +02:00
494,2019-09-19 11:00:00.000000 +02:00
578,2019-09-19 12:00:00.000000 +02:00
622,2019-09-19 13:00:00.000000 +02:00
677,2019-09-19 14:00:00.000000 +02:00
715,2019-09-19 15:00:00.000000 +02:00
854,2019-09-19 16:00:00.000000 +02:00
1038,2019-09-19 17:00:00.000000 +02:00
1241,2019-09-19 18:00:00.000000 +02:00
990,2019-09-19 19:00:00.000000 +02:00
601,2019-09-19 20:00:00.000000 +02:00
432,2019-09-19 21:00:00.000000 +02:00
440,2019-09-19 22:00:00.000000 +02:00
351,2019-09-19 23:00:00.000000 +02:00
217,2019-09-20 00:00:00.000000 +02:00
167,2019-09-20 01:00:00.000000 +02:00
78,2019-09-20 02:00:00.000000 +02:00
70,2019-09-20 03:00:00.000000 +02:00
17,2019-09-20 04:00:00.000000 +02:00
31,2019-09-20 05:00:00.000000 +02:00
93,2019-09-20 06:00:00.000000 +02:00
451,2019-09-20 07:00:00.000000 +02:00
855,2019-09-20 08:00:00.000000 +02:00
845,2019-09-20 09:00:00.000000 +02:00
631,2019-09-20 10:00:00.000000 +02:00
832,2019-09-20 11:00:00.000000 +02:00
975,2019-09-20 12:00:00.000000 +02:00
919,2019-09-20 13:00:00.000000 +02:00
1081,2019-09-20 14:00:00.000000 +02:00
1218,2019-09-20 15:00:00.000000 +02:00
1231,2019-09-20 16:00:00.000000 +02:00
1305,2019-09-20 17:00:00.000000 +02:00
1266,2019-09-20 18:00:00.000000 +02:00
1124,2019-09-20 19:00:00.000000 +02:00
819,2019-09-20 20:00:00.000000 +02:00
580,2019-09-20 21:00:00.000000 +02:00
617,2019-09-20 22:00:00.000000 +02:00
405,2019-09-20 23:00:00.000000 +02:00
343,2019-09-21 00:00:00.000000 +02:00
258,2019-09-21 01:00:00.000000 +02:00
186,2019-09-21 02:00:00.000000 +02:00
143,2019-09-21 03:00:00.000000 +02:00
87,2019-09-21 04:00:00.000000 +02:00
55,2019-09-21 05:00:00.000000 +02:00
62,2019-09-21 06:00:00.000000 +02:00
123,2019-09-21 07:00:00.000000 +02:00
179,2019-09-21 08:00:00.000000 +02:00
386,2019-09-21 09:00:00.000000 +02:00
499,2019-09-21 10:00:00.000000 +02:00
733,2019-09-21 11:00:00.000000 +02:00
916,2019-09-21 12:00:00.000000 +02:00
1086,2019-09-21 13:00:00.000000 +02:00
1144,2019-09-21 14:00:00.000000 +02:00
1345,2019-09-21 15:00:00.000000 +02:00
1281,2019-09-21 16:00:00.000000 +02:00
1323,2019-09-21 17:00:00.000000 +02:00
1236,2019-09-21 18:00:00.000000 +02:00
981,2019-09-21 19:00:00.000000 +02:00
714,2019-09-21 20:00:00.000000 +02:00
645,2019-09-21 21:00:00.000000 +02:00
440,2019-09-21 22:00:00.000000 +02:00
353,2019-09-21 23:00:00.000000 +02:00
262,2019-09-22 00:00:00.000000 +02:00
218,2019-09-22 01:00:00.000000 +02:00
157,2019-09-22 02:00:00.000000 +02:00
114,2019-09-22 03:00:00.000000 +02:00
72,2019-09-22 04:00:00.000000 +02:00
51,2019-09-22 05:00:00.000000 +02:00
58,2019-09-22 06:00:00.000000 +02:00
129,2019-09-22 07:00:00.000000 +02:00
147,2019-09-22 08:00:00.000000 +02:00
257,2019-09-22 09:00:00.000000 +02:00
510,2019-09-22 10:00:00.000000 +02:00
874,2019-09-22 11:00:00.000000 +02:00
1002,2019-09-22 12:00:00.000000 +02:00
1282,2019-09-22 13:00:00.000000 +02:00
1347,2019-09-22 14:00:00.000000 +02:00
1363,2019-09-22 15:00:00.000000 +02:00
1243,2019-09-22 16:00:00.000000 +02:00
1107,2019-09-22 17:00:00.000000 +02:00
1047,2019-09-22 18:00:00.000000 +02:00
738,2019-09-22 19:00:00.000000 +02:00
525,2019-09-22 20:00:00.000000 +02:00
400,2019-09-22 21:00:00.000000 +02:00
321,2019-09-22 22:00:00.000000 +02:00
215,2019-09-22 23:00:00.000000 +02:00
106,2019-09-23 00:00:00.000000 +02:00
78,2019-09-23 01:00:00.000000 +02:00
45,2019-09-23 02:00:00.000000 +02:00
35,2019-09-23 03:00:00.000000 +02:00
15,2019-09-23 04:00:00.000000 +02:00
31,2019-09-23 05:00:00.000000 +02:00
69,2019-09-23 06:00:00.000000 +02:00
396,2019-09-23 07:00:00.000000 +02:00
753,2019-09-23 08:00:00.000000 +02:00
805,2019-09-23 09:00:00.000000 +02:00
442,2019-09-23 10:00:00.000000 +02:00
445,2019-09-23 11:00:00.000000 +02:00
548,2019-09-23 12:00:00.000000 +02:00
609,2019-09-23 13:00:00.000000 +02:00
623,2019-09-23 14:00:00.000000 +02:00
686,2019-09-23 15:00:00.000000 +02:00
848,2019-09-23 16:00:00.000000 +02:00
1023,2019-09-23 17:00:00.000000 +02:00
1276,2019-09-23 18:00:00.000000 +02:00
1026,2019-09-23 19:00:00.000000 +02:00
593,2019-09-23 20:00:00.000000 +02:00
469,2019-09-23 21:00:00.000000 +02:00
362,2019-09-23 22:00:00.000000 +02:00
231,2019-09-23 23:00:00.000000 +02:00
149,2019-09-24 00:00:00.000000 +02:00
91,2019-09-24 01:00:00.000000 +02:00
59,2019-09-24 02:00:00.000000 +02:00
